timestamp,url,format,concurrency,requests,errors,total_time_s,throughput_rps,p50_ms,p95_ms,p99_ms,mean_ms
2026-08-30T15:05:55.680030,http://localhost:8001/run,tool,10,300,0,3.2562,92.1321,103.1549,122.8933,127.2013,106.5579
2026-08-30T15:05:58.917738,http://localhost:8001/run,tool,10,300,0,3.237,92.678,103.3394,123.1821,126.3703,106.0296
2026-08-30T15:06:02.174231,http://localhost:8001/run,tool,10,300,0,3.256,92.1378,103.4536,123.7236,127.7106,106.6518
2026-08-30T15:06:03.535364,http://localhost:8001/run,tool,25,300,0,1.3607,220.481,105.4749,123.8597,137.1278,107.6884
2026-08-30T15:06:04.871815,http://localhost:8001/run,tool,25,300,0,1.336,224.5519,105.1588,118.0602,126.3984,107.2467
2026-08-30T15:06:06.286827,http://localhost:8001/run,tool,25,300,0,1.4145,212.0828,111.1073,125.0598,132.8862,112.0447
2026-08-30T15:06:07.124819,http://localhost:8001/run,tool,50,300,0,0.8373,358.2914,117.8949,159.2348,175.1901,125.4177
2026-08-30T15:06:07.962854,http://localhost:8001/run,tool,50,300,0,0.8375,358.2298,113.5541,172.281,177.2405,125.1011
2026-08-30T15:06:08.827462,http://localhost:8001/run,tool,50,300,0,0.8641,347.1859,123.0905,172.7523,190.9628,128.3079
