timestamp,url,concurrency,requests,errors,total_time_s,throughput_rps,p50_ms,p95_ms,p99_ms,mean_ms
2026-08-14T13:01:06.390073,http://localhost:8000/invoke,1,100,0,11.5564,8.6532,111.2833,127.6586,131.0521,115.4252
2026-08-14T13:01:17.894491,http://localhost:8000/invoke,1,100,0,11.5041,8.6926,111.2471,125.2261,133.273,114.9128
2026-08-14T13:01:29.399671,http://localhost:8000/invoke,1,100,0,11.5048,8.692,110.9185,127.8816,138.7181,114.9255
2026-08-14T13:01:32.207494,http://localhost:8000/invoke,5,100,0,2.8074,35.6202,139.7313,144.0925,147.3767,139.7272
2026-08-14T13:01:35.001007,http://localhost:8000/invoke,5,100,0,2.7932,35.8017,136.1123,152.458,226.2815,138.734
2026-08-14T13:01:37.683903,http://localhost:8000/invoke,5,100,0,2.6825,37.2784,137.2542,145.044,146.4118,132.7153
2026-08-14T13:01:39.505276,http://localhost:8000/invoke,10,100,0,1.8209,54.9191,173.7125,242.2661,243.4506,180.823
2026-08-14T13:01:41.283665,http://localhost:8000/invoke,10,100,0,1.7779,56.2451,174.246,192.6075,196.3246,175.5581
2026-08-14T13:01:43.055695,http://localhost:8000/invoke,10,100,0,1.7716,56.4456,174.0896,191.0306,192.845,172.9591
2026-08-14T13:01:43.904534,http://localhost:8000/invoke,25,100,0,0.8484,117.8655,197.2454,272.4961,275.2111,199.8608
2026-08-14T13:01:44.727100,http://localhost:8000/invoke,25,100,0,0.8222,121.6206,177.4493,270.8404,274.504,188.1138
2026-08-14T13:01:45.584293,http://localhost:8000/invoke,25,100,0,0.8568,116.7138,193.1686,283.3651,287.0373,198.4025
2026-08-14T15:41:45.732004,http://localhost:8000/invoke,agent,10,200,0,4.3535,45.9401,214.326,242.0103,307.8774,212.195
